"nbcar","nb_rec","men","ind_srf","ind_age6","Revenue_personne","lon","lat"
1,240,130,5513702,185,22973.7583333333,5.37520865129281,43.2409607711616
1,426,171,9781146,292,22960.4366197183,5.37766081858492,43.2410717878476
1,55,20,1492677,33,27139.5818181818,5.38011299416024,43.2411827457301
1,240,93,5316934,160,22153.8916666667,5.38256517801445,43.2412936448087
1,432,205,8785794,303,20337.4861111111,5.38501737014323,43.2414044850831
1,227,111,4944288,173,21781.0044052863,5.38746957054225,43.2415152665531
1,51,30,1277150,49,25042.1568627451,5.38992177920719,43.2416259892183
1,680,263,11962213,442,17591.4897058824,5.39237399613373,43.2417366530783
1,513,236,11251509,363,21932.7660818713,5.39482622131753,43.241847258133
1,107,49,2711591,82,25341.9719626168,5.39727845475428,43.2419578043819
1,125,51,3329118,98,26632.944,5.39973069643965,43.2420682918247
1,102,31,2538512,67,24887.3725490196,5.40218294636931,43.2421787204611
1,151,60,3685687,115,24408.5231788079,5.40463520453895,43.2422890902909
1,286,115,5873498,190,20536.7062937063,5.40708747094423,43.2423994013136
1,264,105,6550512,170,24812.5454545455,5.40953974558083,43.242509653529
1,166,78,4044354,127,24363.578313253,5.41199202844443,43.2426198469367
1,331,130,7723976,235,23335.2749244713,5.4144443195307,43.2427299815365
1,74,26,1748735,51,23631.5540540541,5.41689661883531,43.242840057328
1,116,48,2849325,85,24563.1465517241,5.41934892635394,43.2429500743108
2,71,32,1632899,58,11499.2887323944,5.42180124208227,43.2430600324848
2,71,32,1632899,58,11499.2887323944,5.42425356601596,43.2431699318495
3,26,13,577866,20,7408.53846153846,5.4267058981507,43.2432797724047
3,26,13,577866,20,7408.53846153846,5.42915823848215,43.24338955415
1,533,229,8618843,386,16170.4371482176,5.43896768168857,43.2438280930264
1,125,71,2625760,102,21006.08,5.36771005894723,43.2424286646019
1,192.5,107,4118724,158,21395.9688311688,5.37016227611005,43.2425398616497
1,173,76,4470774,135,25842.6242774566,5.37261450157011,43.2426509998929
1,435,244,10577390,370,24315.8390804598,5.37506673532307,43.2427620793312
1,194.5,95,4860486,149,24989.6452442159,5.37751897736461,43.2428730999642
1,336,139,6610645,226,19674.5386904762,5.3799712276904,43.2429840617915
1,178,74,4418743,130,24824.3988764045,5.38242348629613,43.243094964813
1,134.5,56,3319617,95,24681.1672862454,5.38487575317747,43.2432058090283
1,411.5,172,9248635,281,22475.4191980559,5.38732802833009,43.243316594437
1,322.5,153,7869838,258,24402.5984496124,5.38978031174967,43.2434273210388
1,210,76,5389967,137,25666.5095238095,5.39223260343188,43.2435379888335
1,394.5,194,9030924,297,22892.0760456274,5.39468490337241,43.2436485978207
1,206.5,82,3460864,149,16759.6319612591,5.39713721156691,43.243759148
1,416,161,5251792,259,12624.5,5.39958952801108,43.2438696393712
1,1007.5,373,13436330,650,13336.3076923077,5.40204185270058,43.2439800719339
1,177,71,4379756,126,24744.384180791,5.40449418563109,43.2440904456879
1,275,140,6499640,212,23635.0545454545,5.40694652679828,43.2442007606328
1,52.5,27,1294509,35,24657.3142857143,5.40939887619782,43.2443110167683
1,46,19,942067,31,20479.7173913043,5.4118512338254,43.244421214094
1,24,11,541035,17,22543.125,5.41430359967669,43.2445313526097
1,71,30,1698830,56,23927.1830985915,5.41675597374735,43.2446414323151
1,266.5,119,6020528,194,22591.0994371482,5.41920835603307,43.2447514532098
1,136,57,3148907,97,23153.7279411765,5.42166074652951,43.2448614152935
1,84,31,1743248,55,20752.9523809524,5.42411314523235,43.2449713185659
1,83,36,1782973,60,21481.6024096386,5.42656555213727,43.2450811630266
1,112,46,2465234,79,22011.0178571429,5.42901796723993,43.2451909486755
3,94,35,2221753,64,7878.55673758865,5.43147039053602,43.245300675512
3,94,35,2221753,64,7878.55673758865,5.43392282202119,43.245410343536
3,94,35,2221753,64,7878.55673758865,5.43637526169114,43.2455199527472
4,40,15,824007,29,5150.04375,5.43882770954152,43.2456295031451
4,40,15,824007,29,5150.04375,5.44128016556802,43.2457389947295
4,40,15,824007,29,5150.04375,5.4437326297663,43.2458484275001
4,40,15,824007,29,5150.04375,5.44618510213203,43.2459578014566
2,141,58,3207793,108,11375.1524822695,5.37002019901689,43.2443411589419
2,141,58,3207793,108,11375.1524822695,5.37247249923036,43.2444523011366
